inning,estimated_woba_using_speedangle,outs_when_up,Swing
5,0.08,0,0
6,0.308,1,0
6,0.012,0,1
6,0.773,0,0
5,0.256,2,
4,0.008,2,
3,0.464,1,0
4,0.574,2,
4,0.216,2,
5,0.014,0,0
4,0.003,1,0
4,0.47,2,
3,0.034,2,
3,0.964,2,
5,0.012,0,0
3,0.08,0,0
3,0.005,2,
3,0.003,2,
4,0.253,0,0
3,0.383,2,
4,0.257,0,0
3,0.035,1,0
3,0.219,2,
2,0.064,2,
3,0.697,0,0
2,0.742,0,0
3,0.306,0,0
2,0.469,2,
2,0.705,0,0
2,0.265,1,0
2,0.807,0,0
1,0.075,2,
1,0.241,1,0
2,0.942,0,1
1,0.01,2,
1,0.006,0,0
1,0.514,1,1
1,0.134,0,0
1,0.134,0,0
1,0.164,0,0
1,0.24,0,0
6,0.102,2,
6,0.059,0,0
5,0.037,0,1
5,0.004,0,0
5,0.105,0,0
6,0.022,1,0
6,0.246,1,0
6,0.638,1,0
5,0,2,
5,0.025,1,0
5,0.484,0,0
5,0.003,0,0
4,0.636,0,0
2,0.37,2,
4,0.077,1,0
4,0.185,0,0
3,0,2,
2,0.255,2,
2,0.121,2,
3,0.231,1,0
3,0.148,0,0
4,0.244,0,0
2,0.039,2,
2,0.583,1,0
2,0.345,2,
2,0.149,1,0
3,1.357,0,0
2,1.217,1,0
2,0.219,1,1
1,0.022,2,
2,0.347,0,1
2,0.003,0,0
1,0.009,2,
1,0.129,1,0
1,0.084,1,0
1,0.165,0,0
1,0.279,0,0
1,1.052,0,0
1,0.003,0,0
6,0.301,2,
6,0.003,0,0
5,0.189,1,0
4,0.306,2,
4,0.713,1,1
5,0.184,2,
7,0.003,0,0
6,0.306,2,
6,0.422,0,0
6,0.273,2,
5,0.736,2,
6,0.579,2,
5,0.239,1,1
4,0.141,1,1
5,0.039,1,0
4,0.068,1,0
3,0.836,2,
4,0.203,2,
4,0.265,1,0
4,0.154,2,
4,0.033,0,0
3,0.332,1,0
3,0.098,2,
4,0.183,2,
3,0.073,2,
3,0.64,2,
3,0.202,0,0
3,0.574,2,
2,0.065,0,0
1,0.01,2,
2,0.003,0,0
1,0.064,2,
2,0.558,2,
2,0,0,0
2,0.147,0,0
2,0.2,2,
1,0.152,2,
2,0.201,0,0
1,1.019,2,
1,0.008,1,0
1,0.538,1,0
1,0.158,0,0
1,0.125,0,0
5,0.013,1,1
7,0.055,2,
6,0.112,2,
5,0.385,2,
7,0.077,2,
6,0.804,0,0
7,0.085,2,
6,0.119,0,0
5,0.617,2,
5,0.061,1,1
6,0.098,0,0
5,0.141,0,1
4,0.044,2,
5,0.1,2,
6,0.106,0,0
4,0.231,2,
7,0.104,1,0
4,0.525,2,
6,0.628,1,1
4,0.242,0,1
5,0.011,0,0
5,0.763,1,0
4,0.086,0,0
2,0.066,2,
4,0.069,0,0
4,1.046,1,0
4,0.108,1,0
4,0.049,2,
4,0.082,0,0
2,0.223,2,
2,0.217,0,0
1,0.108,2,
3,0.034,0,0
1,0.302,2,
1,0.212,2,
2,0.129,0,0
1,0.03,2,
1,0.159,2,
1,0.234,0,0
1,0.049,0,0
8,0.014,1,0
7,0.115,0,0
6,0.046,2,
6,0.003,1,0
6,0.524,0,0
4,0.061,1,1
6,0.086,0,1
5,0.034,2,
5,0.022,0,1
6,0.199,0,0
5,0.555,2,
5,0.24,2,
4,0.465,0,0
5,0.011,1,1
4,0.062,2,
5,0.304,1,0
4,1.357,2,
5,0.623,2,
4,0.008,0,0
4,0.28,1,1
5,0.193,1,1
4,0.561,1,0
3,0.071,2,
3,0.041,0,0
2,0.231,2,
4,0.267,0,0
3,0.471,2,
3,0.859,1,0
3,0.487,1,0
3,0.402,0,1
1,0.129,2,
2,0,2,
1,0.015,1,0
2,0.82,0,0
2,0.208,1,0
1,0.012,2,
1,0.681,1,0
1,0.538,1,0
1,0.182,0,0
1,0.254,0,0
1,0.148,0,0
7,0.006,0,0
4,0.009,2,
6,0.008,0,0
5,0.566,2,
7,0.273,2,
5,0.7,0,0
4,0.003,1,0
4,0.141,0,0
4,0.007,1,1
4,0.01,1,0
6,0.25,0,0
4,0.015,2,
3,0.156,2,
3,0.003,2,
3,0.044,2,
3,0.021,2,
3,0.036,1,0
3,0.105,2,
3,0.07,0,0
3,0.425,0,0
2,0.108,2,
2,0.229,2,
1,0.319,2,
3,0.442,1,0
2,0.341,2,
2,0.495,0,0
2,0.484,2,
2,0.015,0,1
1,0.088,1,0
1,0.021,1,1
1,0.059,0,0
1,0.125,1,0
1,0.161,0,1
1,0.152,2,
1,0.632,1,0
1,0.071,0,1
6,1.423,2,
8,0.084,1,1
7,0.167,0,0
6,0,1,0
6,0.319,1,0
6,0.08,0,0
5,0.156,1,0
5,0.273,0,1
5,0.165,0,0
6,0.17,0,1
4,0.253,1,0
4,0.254,0,1
4,0.015,1,0
4,0.28,2,
4,0.077,0,0
2,0.015,1,0
3,0.046,2,
3,0.172,1,0
5,0.09,0,0
3,0.021,2,
4,0.469,2,
4,0.152,0,1
3,0.038,2,
3,0.119,1,0
2,0.465,2,
2,0.005,1,0
2,0.022,2,
2,0.03,2,
2,0.07,1,1
2,0.008,0,1
2,0,2,
2,0.553,0,0
2,0.532,0,0
2,0.764,2,
2,0.159,2,
1,0.113,2,
1,0.05,2,
1,0.007,0,0
1,0.046,1,0
1,0.515,0,0
1,0.007,0,0
1,0,0,0
6,0.041,1,0
5,0.111,1,0
5,0.801,0,1
5,0.037,2,
5,0.496,2,
5,0.089,1,0
5,0.387,0,0
4,0.066,2,
4,0.332,1,0
4,0.032,0,0
4,0.014,1,0
4,0.206,1,1
3,1.46,1,0
4,0.013,2,
3,0.829,1,0
4,0.538,1,1
4,0.18,0,0
2,0.09,2,
4,0.532,1,1
4,1.315,1,1
3,0.019,2,
3,0.089,2,
3,0.44,1,0
2,0.781,1,0
3,0.017,0,0
2,0.312,2,
2,0.318,0,0
2,0.062,1,0
2,0.096,0,0
2,1.426,0,0
